PLZ,GPLZ,Canton
1000,1000,VD
1004,1000,VD
1007,1000,VD
1002,1000,VD
1006,1000,VD
1015,1000,VD
1010,1000,VD
1018,1000,VD
1003,1000,VD
1012,1000,VD
1014,1000,VD
1001,1000,VD
1005,1000,VD
1011,1000,VD
1001,1001,VD
1008,1008,VD
1009,1009,VD
1019,1019,VD
1020,1020,VD
1022,1022,VD
1023,1023,VD
1024,1024,VD
1025,1025,VD
1026,1026,VD
1027,1027,VD
1028,1028,VD
1029,1029,VD
1030,1030,VD
1031,1031,VD
1032,1032,VD
1033,1033,VD
1034,1034,VD
1035,1035,VD
1036,1036,VD
1037,1037,VD
1038,1038,VD
1039,1039,VD
1040,1040,VD
1041,1041,VD
1042,1042,VD
1043,1043,VD
1044,1044,VD
1045,1045,VD
1046,1046,VD
1047,1047,VD
1052,1052,VD
1053,1053,VD
1054,1054,VD
1055,1055,VD
1058,1058,VD
1059,1059,VD
1061,1061,VD
1062,1062,VD
1063,1063,VD
1066,1066,VD
1068,1068,VD
1070,1070,VD
1071,1071,VD
1072,1072,VD
1073,1073,VD
1076,1076,VD
1077,1077,VD
1078,1078,VD
1080,1080,VD
1081,1081,VD
1082,1082,VD
1083,1083,VD
1084,1084,VD
1085,1085,VD
1088,1088,VD
1090,1090,VD
1091,1091,VD
1092,1092,VD
1093,1093,VD
1094,1094,VD
1095,1095,VD
1096,1096,VD
1097,1097,VD
1098,1098,VD
1110,1110,VD
1112,1112,VD
1113,1113,VD
1114,1114,VD
1115,1115,VD
1116,1116,VD
1117,1117,VD
1121,1121,VD
1122,1122,VD
1123,1123,VD
1124,1124,VD
1125,1125,VD
1126,1126,VD
1127,1127,VD
1128,1128,VD
1131,1131,VD
1132,1132,VD
1134,1134,VD
1135,1135,VD
1136,1136,VD
1141,1141,VD
1142,1142,VD
1143,1143,VD
1144,1144,VD
1145,1145,VD
1146,1146,VD
1147,1147,VD
1148,1148,VD
1149,1149,VD
1162,1162,VD
1163,1163,VD
1164,1164,VD
1165,1165,VD
1166,1166,VD
1167,1167,VD
1168,1168,VD
1169,1169,VD
1170,1170,VD
1172,1172,VD
1173,1173,VD
1174,1174,VD
1175,1175,VD
1176,1176,VD
1180,1180,VD
1182,1182,VD
1183,1183,VD
1184,1184,VD
1185,1185,VD
1186,1186,VD
1187,1187,VD
1188,1188,VD
1189,1189,VD
1195,1195,VD
1196,1196,VD
1197,1197,VD
1200,1200,GE
1204,1200,GE
1211,1200,GE
1209,1200,GE
1207,1200,GE
1205,1200,GE
1202,1200,GE
1206,1200,GE
1201,1200,GE
1203,1200,GE
1208,1200,GE
1211,1211,GE
1212,1212,GE
1213,1213,GE
1214,1214,GE
1215,1215,GE
1216,1216,GE
1215,1217,GE
1217,1217,GE
1218,1218,GE
1219,1219,GE
1220,1220,GE
1222,1222,GE
1223,1223,GE
1224,1224,GE
1225,1225,GE
1226,1226,GE
1227,1227,GE
1228,1228,GE
1231,1231,GE
1232,1232,GE
1233,1233,GE
1234,1234,GE
1236,1236,GE
1237,1237,GE
1239,1239,GE
1240,1240,GE
1241,1241,GE
1242,1242,GE
1243,1243,GE
1244,1244,GE
1245,1245,GE
1246,1246,GE
1247,1247,GE
1248,1248,GE
1251,1251,GE
1252,1252,GE
1253,1253,GE
1254,1254,GE
1255,1255,GE
1256,1256,GE
1257,1257,GE
1258,1258,GE
1260,1260,VD
1261,1261,VD
1262,1262,VD
1263,1263,VD
