PostalCode,NumStations,PLZ
6340,72,6340
9015,50,9015
1215,37,1215
9000,36,9000
1219,35,1219
8953,33,8953
6010,29,6010
7304,27,7304
3600,27,3600
1920,27,1920
1470,26,1470
8952,26,8952
5000,25,5000
9500,25,9500
4653,24,4653
5033,24,5033
8610,23,8610
2504,22,2504
6370,22,6370
4900,22,4900
1290,20,1290
7500,20,7500
6467,20,6467
84095,20,84095
9470,19,9470
7504,19,7504
4665,19,4665
4147,19,4147
8910,19,8910
3800,19,3800
4133,19,4133
6300,19,6300
4622,18,4622
9016,18,9016
1030,18,1030
7000,17,7000
5618,17,5618
8134,17,8134
3113,16,3113
1700,15,1700
4600,15,4600
6330,15,6330
75015,15,75015
7270,14,7270
8867,14,8867
3715,14,3715
4566,14,4566
4702,13,4702
8310,13,8310
6033,13,6033
3792,13,3792
8500,13,8500
1530,13,1530
3063,13,3063
3645,12,3645
8280,12,8280
6023,12,6023
3006,12,3006
4322,12,4322
4502,12,4502
1723,12,1723
8912,12,8912
4142,12,4142
6005,11,6005
7323,11,7323
8207,11,8207
1201,11,1201
9001,10,9001
8887,10,8887
1227,10,1227
3775,10,3775
3110,10,3110
6815,10,6815
1183,10,1183
4456,10,4456
8957,10,8957
4132,10,4132
3014,10,3014
8472,10,8472
3012,10,3012
6776,10,6776
3013,10,3013
8212,10,8212
8201,10,8201
5036,10,5036
3072,10,3072
1957,10,1957
5745,10,5745
8274,10,8274
2542,9,2542
9320,9,9320
4528,9,4528
9230,9,9230
3250,9,3250
8700,9,8700
6210,9,6210
5600,8,5600
1218,8,1218
6375,8,6375
8152,8,8152
7430,8,7430
6030,8,6030
1242,8,1242
9014,8,9014
3280,8,3280
4500,8,4500
3940,8,3940
1806,8,1806
1630,8,1630
8750,8,8750
1211,8,1211
8305,8,8305
1752,8,1752
3053,8,3053
7250,7,7250
7260,7,7260
7240,7,7240
5035,7,5035
8636,7,8636
1020,7,1020
6454,7,6454
7513,7,7513
3860,7,3860
1091,7,1091
6312,7,6312
60100,7,60100
4123,7,4123
8404,7,8404
1680,7,1680
4153,7,4153
5742,7,5742
1372,7,1372
7746,7,7746
2016,7,2016
6034,6,6034
3700,6,3700
37639,6,37639
8200,6,8200
6802,6,6802
1644,6,1644
3400,6,3400
7031,6,7031
8166,6,8166
6343,6,6343
6208,6,6208
3172,6,3172
3302,6,3302
1213,6,1213
8005,6,8005
1205,6,1205
7524,6,7524
2000,6,2000
3010,6,3010
8184,6,8184
3322,6,3322
9422,6,9422
1023,6,1023
3001,6,3001
5034,6,5034
7188,6,7188
8783,6,8783
1233,6,1233
8570,6,8570
1663,6,1663
8023,6,8023
7302,5,7302
7503,5,7503
3770,5,3770
8645,5,8645
3123,5,3123
3018,5,3018
6204,5,6204
8604,5,8604
2300,5,2300
2503,5,2503
1202,5,1202
4242,5,4242
8630,5,8630
2560,5,2560
3552,5,3552
2072,5,2072
3930,5,3930
4942,5,4942
6205,5,6205
2502,5,2502
1796,5,1796
1950,5,1950
3555,5,3555
1400,5,1400
8702,5,8702
4911,5,4911
1964,5,1964
1763,5,1763
6430,5,6430
1024,5,1024
25761,5,25761
1716,4,1716
7205,4,7205
5612,4,5612
9300,4,9300
5200,4,5200
8951,4,8951
6207,4,6207
3007,4,3007
1212,4,1212
7204,4,7204
4102,4,4102
6032,4,6032
8703,4,8703
8906,4,8906
1226,4,1226
8304,4,8304
3294,4,3294
6850,4,6850
3074,4,3074
3612,4,3612
8340,4,8340
8001,4,8001
7742,4,7742
9450,4,9450
4105,4,4105
5057,4,5057
8754,4,8754
7436,4,7436
8932,4,8932
6500,4,6500
4937,4,4937
8330,4,8330
9323,4,9323
1260,4,1260
8306,4,8306
8800,4,8800
1800,4,1800
7505,4,7505
9200,4,9200
8880,4,8880
4513,4,4513
4614,4,4614
7550,4,7550
6915,4,6915
8890,4,8890
8048,4,8048
4552,4,4552
9403,4,9403
1634,4,1634
3780,4,3780
4104,4,4104
1860,4,1860
6130,4,6130
8820,4,8820
6004,4,6004
3008,4,3008
5606,4,5606
7231,4,7231
8767,4,8767
6513,4,6513
5610,4,5610
7514,4,7514
1730,4,1730
1217,4,1217
1545,4,1545
1288,4,1288
3097,4,3097
2103,4,2103
8406,4,8406
1279,4,1279
8157,4,8157
7310,4,7310
4512,4,4512
27356,4,27356
7078,4,7078
4244,3,4244
6565,3,6565
5734,3,5734
4974,3,4974
4782,3,4782
2555,3,2555
8245,3,8245
9430,3,9430
48429,3,48429
8302,3,8302
6648,3,6648
4562,3,4562
9475,3,9475
8756,3,8756
3283,3,3283
3210,3,3210
5432,3,5432
3422,3,3422
9495,3,9495
6460,3,6460
6998,3,6998
8050,3,8050
6432,3,6432
8606,3,8606
5012,3,5012
6214,3,6214
1618,3,1618
5400,3,5400
9472,3,9472
3861,3,3861
9042,3,9042
6017,3,6017
4226,3,4226
5614,3,5614
8600,3,8600
1724,3,1724
9008,3,9008
1955,3,1955
2017,3,2017
1070,3,1070
9434,3,9434
2108,3,2108
4106,3,4106
1010,3,1010
9523,3,9523
1216,3,1216
9534,3,9534
5412,3,5412
4415,3,4415
6436,3,6436
4543,3,4543
4143,3,4143
7552,3,7552
3270,3,3270
4532,2,4532
6014,2,6014
8370,2,8370
2608,2,2608
4103,2,4103
9242,2,9242
8352,2,8352
1637,2,1637
3202,2,3202
85101,2,85101
7527,2,7527
1196,2,1196
3454,2,3454
1753,2,1753
9305,2,9305
6275,2,6275
8762,2,8762
4124,2,4124
8603,2,8603
3272,2,3272
7189,2,7189
3303,2,3303
7512,2,7512
3175,2,3175
7153,2,7153
2022,2,2022
1424,2,1424
1804,2,1804
3178,2,3178
8047,2,8047
6003,2,6003
4652,2,4652
85053,2,85053
8623,2,8623
3297,2,3297
4577,2,4577
4225,2,4225
55232,2,55232
5524,2,5524
2544,2,2544
8156,2,8156
7440,2,7440
1224,2,1224
2545,2,2545
4563,2,4563
5442,2,5442
5647,2,5647
4587,2,4587
8307,2,8307
4950,2,4950
4207,2,4207
2034,2,2034
8903,2,8903
8775,2,8775
8400,2,8400
7075,2,7075
6423,2,6423
6045,2,6045
4127,2,4127
9326,2,9326
8000,2,8000
6386,2,6386
3324,2,3324
6372,2,6372
8501,2,8501
4247,2,4247
3934,2,3934
9630,2,9630
27404,2,27404
7432,2,7432
3004,2,3004
3604,2,3604
4419,2,4419
8355,2,8355
6280,2,6280
4208,2,4208
4921,2,4921
3186,2,3186
75031,2,75031
3818,2,3818
8594,2,8594
7166,2,7166
5054,2,5054
7502,2,7502
1895,2,1895
1018,2,1018
8308,2,8308
3015,2,3015
2775,2,2775
2114,2,2114
1847,2,1847
1636,2,1636
1293,2,1293
8708,2,8708
8488,2,8488
2105,2,2105
5040,2,5040
4058,2,4058
6264,2,6264
6052,2,6052
3011,2,3011
7530,2,7530
1580,2,1580
9465,2,9465
1720,2,1720
8583,2,8583
5018,2,5018
7130,2,7130
3627,2,3627
2035,2,2035
4565,2,4565
7532,2,7532
4573,2,4573
2900,2,2900
4114,2,4114
3855,2,3855
1632,2,1632
9315,2,9315
8573,2,8573
3672,2,3672
2830,2,2830
6133,2,6133
5013,2,5013
6170,2,6170
8180,2,8180
7744,2,7744
5504,2,5504
6376,2,6376
4533,2,4533
8514,2,8514
4710,2,4710
21635,2,21635
1625,2,1625
8635,2,8635
8117,2,8117
1669,2,1669
8806,2,8806
5102,2,5102
8444,2,8444
4934,2,4934
01917,2,1917
27374,2,27374
6362,2,6362
8268,2,8268
6039,2,6039
7180,2,7180
7083,2,7083
7220,2,7220
7320,2,7320
5070,2,5070
8580,2,8580
1562,2,1562
3005,2,3005
8165,2,8165
7232,2,7232
1616,2,1616
21698,2,21698
8755,2,8755
1868,2,1868
2087,2,2087
8620,2,8620
7523,2,7523
9325,2,9325
87727,2,87727
9642,2,9642
1258,2,1258
4571,2,4571
4107,2,4107
2053,2,2053
6371,2,6371
8332,2,8332
1656,2,1656
7450,2,7450
8898,2,8898
1643,2,1643
7741,2,7741
9469,2,9469
9444,2,9444
6926,2,6926
9056,2,9056
9477,2,9477
2605,2,2605
7246,2,7246
7743,2,7743
86609,2,86609
2518,2,2518
8716,2,8716
8422,2,8422
8712,2,8712
4658,2,4658
7554,2,7554
1712,2,1712
1820,2,1820
8766,2,8766
5605,2,5605
4830,2,4830
7545,2,7545
3259,2,3259
9473,2,9473
9322,2,9322
1690,2,1690
7482,2,7482
6383,2,6383
3613,2,3613
9425,2,9425
87642,2,87642
1615,2,1615
4203,2,4203
8112,2,8112
5616,2,5616
5015,2,5015
3421,2,3421
6512,2,6512
5703,2,5703
1025,2,1025
9246,1,9246
9104,1,9104
5042,1,5042
4852,1,4852
3127,1,3127
1093,1,1093
8409,1,8409
6222,1,6222
8475,1,8475
3177,1,3177
6122,1,6122
6390,1,6390
9220,1,9220
8105,1,8105
8954,1,8954
6110,1,6110
1163,1,1163
8104,1,8104
9536,1,9536
09366,1,9366
8964,1,8964
4410,1,4410
5236,1,5236
3126,1,3126
4814,1,4814
60200,1,60200
8496,1,8496
3427,1,3427
7710,1,7710
1670,1,1670
8842,1,8842
3982,1,3982
6078,1,6078
6055,1,6055
5630,1,5630
8154,1,8154
6182,1,6182
8452,1,8452
8083,1,8083
6064,1,6064
7056,1,7056
8046,1,8046
6016,1,6016
3184,1,3184
2575,1,2575
8494,1,8494
5212,1,5212
83539,1,83539
8852,1,8852
3263,1,3263
7457,1,7457
8240,1,8240
6074,1,6074
6243,1,6243
8002,1,8002
85131,1,85131
5405,1,5405
1225,1,1225
9436,1,9436
85111,1,85111
4910,1,4910
6285,1,6285
6274,1,6274
6234,1,6234
80335,1,80335
6060,1,6060
89160,1,89160
6472,1,6472
7533,1,7533
4936,1,4936
6434,1,6434
4943,1,4943
89134,1,89134
7546,1,7546
6288,1,6288
6048,1,6048
3714,1,3714
2126,1,2126
1660,1,1660
4053,1,4053
5242,1,5242
1522,1,1522
8213,1,8213
5452,1,5452
85072,1,85072
77866,1,77866
1031,1,1031
5507,1,5507
5737,1,5737
20089,1,20089
3966,1,3966
6072,1,6072
6592,1,6592
4051,1,4051
5043,1,5043
85055,1,85055
5072,1,5072
7132,1,7132
1788,1,1788
5623,1,5623
6438,1,6438
3508,1,3508
8192,1,8192
3717,1,3717
3814,1,3814
3254,1,3254
3065,1,3065
6247,1,6247
7413,1,7413
4461,1,4461
8704,1,8704
8317,1,8317
3122,1,3122
6929,1,6929
2540,1,2540
4954,1,4954
8555,1,8555
1510,1,1510
1921,1,1921
3455,1,3455
8840,1,8840
1452,1,1452
2732,1,2732
5953,1,5953
